Name,Value
 Bar Bar,238
 Bar Uno  Jw Marriott Bengaluru,239
 Barbecoa,240
 Barbecue By Punjab Grill,241
 Barbecued  By The Orchard,242
 Barbeque Delight,243
 Barbeque Nation,244
 Barbeque Station,245
 Barcode,246
 Barebones  The Balcony Bar,247
 Barista,248
 Barkaas,249
 Barley  Grapes Cafe,250
 Barleyz,251
 Basavanagudi Mylari,252
 Based On A True Story Bistro,253
 Baskin Robbins,254
 Basmati Bar  Restaurant,255
 Basmati Delights,256
 Basmati Restaurant,257
 Bathinda Dine,258
 Bathinda Junction,259
 Bathinda Tandoor,260
 Bawarchi Inn,261
 Bazaar  Zone By The Park,262
 Bbq52,263
 BbqD  Global Grill  Brewery,264
 Beach Hut,265
 Bean Flickers,266
 Bearfoot Cafe,267
 Bearful,268
 Beer Adda,269
 Beetle Juice Bar  Springs Hotel  Spa,270
 Behrouz Biryani,271
 Beijing Bites,272
 Bekal,273
 Belgian Waffle Factory,274
 Belgyum,275
 Bella,276
 Belly Deli,277
 Belly Squad Food Truck,278
 Bene  Sheraton Grand Bangalore Hotel At Brigade,279
 Bengaluru Baking Company  Jw Marriott Bengaluru,280
 Bengaluru Coffee House,281
 Bengaluru House,282
 Benjarong,283
 Berakah,284
 BerryD Alive,285
 Berrylicious,286
 Berrylicious Cafe,287
 Best Of Bengal,288
 Beyond Elements,289
 Bfc Family Restaurant,290
 Bflat Bar,291
 BgS Poolside Bar  Grill,292
 Bhagatram Sweets,293
 Bhagini,294
 Bhagini Iris,295
 Bhagini Kitchen And Bar,296
 Bhairaveshwara Military Hotel,297
 Bhaiyaji Food Court,298
 Bharathi Refreshments,299
 Bharjari Oota,300
 Bharpur Aahar,301
 Bhartiya Jalpan,302
 Bhavani Chats N Juice,303
 Bhavani Restaurant,304
 Bhavani Sri,305
 Bhavani Vada Pav,306
 BheemaS,307
 Bhikaram Chandmal Bhujiawala,308
 Bhojanam Restaurant,309
 Bhojohori Manna,310
 Bhookha Sher,311
 Bhukkads,312
 Bhukkhad Baba,313
 Bib  Breakfast In The Box,314
 BibBreakfast In The Box,315
 Biere Societee,316
 Bierekraft,317
 Biergarten,318
 Big Bite,319
 Big Chicken,320
 Big Mummy,321
 Big Pitcher,322
 Big Wong Xl,323
 Biggies Burger N More,324
 Bihar Ki Shan,325
 Bikaner Jn,326
 Bikaner Sweets,327
 Billionaires Cafe,328
 Birbal Darbar,329
 Birinz,330
 Biriyani Bungalow,331
 Biriyani House,332
 Biriyani Mane,333
 Biriyani Nights,334
 Biriyani Paradise,335
 Biriyani Zone,336
 Biriyaniz,337
 Biryani Affair,338
 Biryani Club,339
 Biryani Darbar,340
 Biryani Day,341
 Biryani Durbar,342
 Biryani Junction,343
 Biryani Kitchen,344
 Biryani Mane,345
 Biryani Miya,346
 Biryani Palace,347
 Biryani Park,348
 Biryani Pot,349
 Biryani RoohEKhaas,350
 Biryani Treats,351
 Biryani Trip,352
 Biryanis And More,353
 Biso  Citrus Hotels,354
 Bistro Claytopia,355
 Bistro Oui,356
 Bite Me Cupcakes,357
 Bitebox,358
 Biting Junction,359
 Black Deer,360
 Black Jack,361
